numero_ticket,relato_cliente,canal_abertura
TK100109,"Meu cartão estava comigo, mas apareceram compras online que não reconheço. A transação foi feita enquanto eu estava trabalhando.",Chat
TK100083,"Meu cartão estava comigo, mas apareceram compras online que não reconheço. Não compartilhei minha senha.",Central
TK100074,Recebi uma mensagem suspeita e depois identifiquei compras no cartão. Nunca estive nesse local.,Agência
TK100036,Uma pessoa se passou pelo banco e me orientou a fazer alguns procedimentos.,App
TK100059,Não autorizei essa cobrança recorrente e não reconheço a assinatura.,App
TK100111,Não reconheço essa compra no meu cartão e não estive nesse estabelecimento. Não compartilhei minha senha.,App
TK100006,Uma pessoa se passou pelo banco e me orientou a fazer alguns procedimentos.,Chat
TK100010,Acredito que os dados do meu cartão foram clonados. Não compartilhei minha senha.,Central
TK100103,Recebi uma mensagem suspeita e depois identifiquei compras no cartão. Nunca estive nesse local.,App
TK100081,Recebi uma ligação e passei informações acreditando que era do banco.,Central
TK100089,Uma pessoa se passou pelo banco e me orientou a fazer alguns procedimentos. A transação foi feita enquanto eu estava trabalhando.,Internet Banking
TK100002,"Meu cartão estava comigo, mas apareceram compras online que não reconheço. Nunca estive nesse local.",Chat
TK100092,Uma pessoa se passou pelo banco e me orientou a fazer alguns procedimentos. Preciso que verifiquem e façam o estorno.,Chat
TK100069,Não reconheço essa compra no meu cartão e não estive nesse estabelecimento.,App
TK100096,Recebi a notificação de uma compra que desconheço. A transação foi feita enquanto eu estava trabalhando.,App
TK100097,Vi uma compra no aplicativo que não fui eu que fiz. Meu cartão estava comigo. Nunca estive nesse local.,Agência
TK100068,Não reconheço essa compra no meu cartão e não estive nesse estabelecimento.,App
TK100023,Vi uma compra no aplicativo que não fui eu que fiz. Meu cartão estava comigo.,Agência
TK100037,Vi uma compra no aplicativo que não fui eu que fiz. Meu cartão estava comigo.,App
TK100067,Vi uma compra no aplicativo que não fui eu que fiz. Meu cartão estava comigo.,Central
TK100086,"Meu cartão estava comigo, mas apareceram compras online que não reconheço. Preciso que verifiquem e façam o estorno.",Central
TK100038,"Meu cartão estava comigo, mas apareceram compras online que não reconheço. Nunca estive nesse local.",Chat
TK100011,Não reconheço essa compra no meu cartão e não estive nesse estabelecimento. Só percebi quando conferi a fatura.,Chat
TK100112,A cobrança apareceu novamente e eu não autorizei.,Central
TK100115,Recebi a notificação de uma compra que desconheço.,App
TK100107,Cliquei em um link recebido por mensagem e depois apareceram transações que não reconheço.,Internet Banking
TK100044,Vi uma compra no aplicativo que não fui eu que fiz. Meu cartão estava comigo.,Chat
TK100065,Recebi a notificação de uma compra que desconheço. Nunca estive nesse local.,Chat
TK100085,Não reconheço essa compra no meu cartão e não estive nesse estabelecimento. Não compartilhei minha senha.,Chat
TK100012,Recebi a notificação de uma compra que desconheço. Não compartilhei minha senha.,Agência
TK100035,Recebi a notificação de uma compra que desconheço. Só percebi quando conferi a fatura.,App
TK100028,Recebi a notificação de uma compra que desconheço. Não compartilhei minha senha.,Central
TK100095,Cliquei em um link recebido por mensagem e depois apareceram transações que não reconheço.,Internet Banking
TK100051,Recebi a notificação de uma compra que desconheço. Só percebi quando conferi a fatura.,Agência
TK100041,Uma pessoa se passou pelo banco e me orientou a fazer alguns procedimentos. A transação foi feita enquanto eu estava trabalhando.,App
TK100004,"Meu cartão estava comigo, mas apareceram compras online que não reconheço.",App
TK100100,Acredito que os dados do meu cartão foram clonados. Nunca estive nesse local.,Agência
TK100098,"Meu cartão estava comigo, mas apareceram compras online que não reconheço.",Agência
TK100061,Vi uma compra no aplicativo que não fui eu que fiz. Meu cartão estava comigo.,App
TK100047,"Meu cartão estava comigo, mas apareceram compras online que não reconheço.",Internet Banking
TK100032,Vi uma compra no aplicativo que não fui eu que fiz. Meu cartão estava comigo. Nunca estive nesse local.,Central
TK100027,Recebi a notificação de uma compra que desconheço.,Internet Banking
TK100062,Recebi a notificação de uma compra que desconheço. Não compartilhei minha senha.,Agência
TK100008,Recebi uma ligação e passei informações acreditando que era do banco. Não compartilhei minha senha.,Agência
TK100064,Vi uma compra no aplicativo que não fui eu que fiz. Meu cartão estava comigo. Preciso que verifiquem e façam o estorno.,Central
TK100014,Recebi uma ligação e passei informações acreditando que era do banco. Não compartilhei minha senha.,Agência
TK100040,"Meu cartão estava comigo, mas apareceram compras online que não reconheço. A transação foi feita enquanto eu estava trabalhando.",Agência
TK100043,Vi uma compra no aplicativo que não fui eu que fiz. Meu cartão estava comigo. A transação foi feita enquanto eu estava trabalhando.,Central
TK100105,Cliquei em um link recebido por mensagem e depois apareceram transações que não reconheço.,App
TK100053,Recebi a notificação de uma compra que desconheço. Não compartilhei minha senha.,App
TK100001,Cliquei em um link recebido por mensagem e depois apareceram transações que não reconheço.,App
TK100049,Recebi a notificação de uma compra que desconheço.,Internet Banking
TK100080,Não reconheço essa compra no meu cartão e não estive nesse estabelecimento.,Internet Banking
TK100034,Recebi uma mensagem suspeita e depois identifiquei compras no cartão. Só percebi quando conferi a fatura.,Agência
TK100091,Não reconheço essa compra no meu cartão e não estive nesse estabelecimento. A transação foi feita enquanto eu estava trabalhando.,Central
TK100052,Recebi a notificação de uma compra que desconheço.,Chat
TK100013,"Meu cartão estava comigo, mas apareceram compras online que não reconheço. Não compartilhei minha senha.",Chat
TK100088,Recebi uma ligação e passei informações acreditando que era do banco. Só percebi quando conferi a fatura.,App
TK100054,Acredito que os dados do meu cartão foram clonados. Preciso que verifiquem e façam o estorno.,Agência
TK100050,Recebi uma ligação e passei informações acreditando que era do banco. Não compartilhei minha senha.,Chat
TK100058,Recebi a notificação de uma compra que desconheço. Nunca estive nesse local.,App
TK100048,Uma pessoa se passou pelo banco e me orientou a fazer alguns procedimentos. Não compartilhei minha senha.,Internet Banking
TK100021,Acredito que os dados do meu cartão foram clonados. Não compartilhei minha senha.,Internet Banking
TK100099,Recebi a notificação de uma compra que desconheço. Não compartilhei minha senha.,Internet Banking
TK100087,Acredito que os dados do meu cartão foram clonados.,Agência
TK100020,Vi uma compra no aplicativo que não fui eu que fiz. Meu cartão estava comigo. Nunca estive nesse local.,Central
TK100071,Recebi a notificação de uma compra que desconheço. Não compartilhei minha senha.,Agência
TK100106,Cliquei em um link recebido por mensagem e depois apareceram transações que não reconheço. Preciso que verifiquem e façam o estorno.,Chat
TK100102,"Meu cartão estava comigo, mas apareceram compras online que não reconheço.",Chat
TK100001,Cliquei em um link recebido por mensagem e depois apareceram transações que não reconheço.,App
TK100024,Acredito que os dados do meu cartão foram clonados. Preciso que verifiquem e façam o estorno.,App
TK100000,Acredito que os dados do meu cartão foram clonados. Preciso que verifiquem e façam o estorno.,Chat
TK100103,Recebi uma mensagem suspeita e depois identifiquei compras no cartão. Nunca estive nesse local.,App
TK100098,"Meu cartão estava comigo, mas apareceram compras online que não reconheço.",Agência
TK100080,Não reconheço essa compra no meu cartão e não estive nesse estabelecimento.,Internet Banking
TK100038,"Meu cartão estava comigo, mas apareceram compras online que não reconheço. Nunca estive nesse local.",Chat
TK100054,Acredito que os dados do meu cartão foram clonados. Preciso que verifiquem e façam o estorno.,Agência
TK100017,Cliquei em um link recebido por mensagem e depois apareceram transações que não reconheço. A transação foi feita enquanto eu estava trabalhando.,App
TK100082,Não reconheço essa compra no meu cartão e não estive nesse estabelecimento.,Internet Banking
TK100044,Vi uma compra no aplicativo que não fui eu que fiz. Meu cartão estava comigo.,Chat
TK100018,"Meu cartão estava comigo, mas apareceram compras online que não reconheço.",Chat
